Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
1526,1566078426.907712,1566078426.907774,0.061989,-0.099998
1527,1566078427.007721,1566078427.007797,0.075340,-0.100009
1528,1566078427.107970,1566078427.108037,0.066996,-0.100248
1529,1566078427.207715,1566078427.207783,0.067234,-0.099746
1530,1566078427.307712,1566078427.307781,0.068903,-0.099997
1531,1566078427.407713,1566078427.407786,0.072956,-0.100001
1532,1566078427.507715,1566078427.507786,0.070572,-0.100002
1533,1566078427.607714,1566078427.607795,0.080824,-0.099999
1534,1566078427.707716,1566078427.707786,0.070095,-0.100002
1535,1566078427.807716,1566078427.807796,0.080585,-0.100000
1536,1566078427.907714,1566078427.907780,0.066042,-0.099998
1537,1566078428.007717,1566078428.007790,0.072956,-0.100003
1538,1566078428.107714,1566078428.107799,0.085115,-0.099997
1539,1566078428.207712,1566078428.207788,0.076294,-0.099998
1540,1566078428.307711,1566078428.307778,0.067234,-0.099999
1541,1566078428.407718,1566078428.407792,0.073671,-0.100007
1542,1566078428.507713,1566078428.507779,0.066042,-0.099995
1543,1566078428.607743,1566078428.607816,0.073671,-0.100029
1544,1566078428.707713,1566078428.707777,0.064135,-0.099970
1545,1566078428.807713,1566078428.807780,0.066996,-0.100000
1546,1566078428.907715,1566078428.907781,0.066757,-0.100001
1547,1566078429.007716,1566078429.007790,0.074387,-0.100001
1548,1566078429.107718,1566078429.107790,0.072479,-0.100002
1549,1566078429.207719,1566078429.207794,0.075817,-0.100001
1550,1566078429.307715,1566078429.307787,0.072002,-0.099997
1551,1566078429.407719,1566078429.407791,0.072002,-0.100004
1552,1566078429.507714,1566078429.507786,0.072479,-0.099994
1553,1566078429.607719,1566078429.607795,0.075579,-0.100005
1554,1566078429.707718,1566078429.707785,0.067711,-0.099999
1555,1566078429.807717,1566078429.807787,0.070095,-0.099999
1556,1566078429.907712,1566078429.907782,0.069857,-0.099996
1557,1566078430.007712,1566078430.007779,0.067234,-0.100000
1558,1566078430.107718,1566078430.107798,0.079632,-0.100006
1559,1566078430.207714,1566078430.207782,0.068188,-0.099996
1560,1566078430.307715,1566078430.307783,0.067472,-0.100001
1561,1566078430.407717,1566078430.407790,0.072956,-0.100001
1562,1566078430.507715,1566078430.507786,0.071049,-0.099998
1563,1566078430.607716,1566078430.607792,0.075340,-0.100001
1564,1566078430.707713,1566078430.707778,0.064611,-0.099997
