S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
154,1566078289.707870,1566078289.722652,14.782906,-0.100055
155,1566078289.807821,1566078289.822665,14.844656,-0.099951
156,1566078289.907837,1566078289.922961,15.124321,-0.100016
157,1566078290.007830,1566078290.022740,14.910221,-0.099993
158,1566078290.107828,1566078290.122702,14.874458,-0.099998
159,1566078290.207832,1566078290.222699,14.866829,-0.100004
160,1566078290.307816,1566078290.322659,14.842987,-0.099984
161,1566078290.407910,1566078290.422787,14.877081,-0.100094
162,1566078290.507828,1566078290.522618,14.790297,-0.099918
163,1566078290.607823,1566078290.622625,14.801979,-0.099995
164,1566078290.707833,1566078290.722700,14.867544,-0.100010
165,1566078290.807822,1566078290.822694,14.871359,-0.099990
166,1566078290.907827,1566078290.922691,14.864206,-0.100004
167,1566078291.007822,1566078291.022620,14.798164,-0.099995
168,1566078291.107819,1566078291.122728,14.908791,-0.099998
169,1566078291.207804,1566078291.222652,14.848471,-0.099984
170,1566078291.307823,1566078291.322843,15.019417,-0.100020
171,1566078291.407836,1566078291.422751,14.914751,-0.100013
172,1566078291.507833,1566078291.522837,15.003920,-0.099997
173,1566078291.607839,1566078291.622781,14.941454,-0.100006
174,1566078291.707829,1566078291.722726,14.897108,-0.099990
175,1566078291.807845,1566078291.822702,14.857054,-0.100016
176,1566078291.907831,1566078291.922742,14.910936,-0.099987
177,1566078292.007833,1566078292.022722,14.888763,-0.100002
178,1566078292.107826,1566078292.122712,14.885902,-0.099993
179,1566078292.207825,1566078292.222705,14.880180,-0.099998
180,1566078292.307825,1566078292.322787,14.962435,-0.100000
181,1566078292.407840,1566078292.422826,14.986038,-0.100015
182,1566078292.507877,1566078292.522973,15.096426,-0.100037
183,1566078292.607830,1566078292.622882,15.052080,-0.099953
184,1566078292.707821,1566078292.722705,14.883995,-0.099992
185,1566078292.807831,1566078292.822767,14.935970,-0.100009
186,1566078292.907830,1566078292.922714,14.884233,-0.100000
187,1566078293.007826,1566078293.022730,14.904499,-0.099995
188,1566078293.107827,1566078293.122717,14.889717,-0.100002
189,1566078293.207828,1566078293.222789,14.960289,-0.100001
190,1566078293.307852,1566078293.322808,14.956236,-0.100024
191,1566078293.407827,1566078293.422721,14.894009,-0.099975
192,1566078293.507828,1566078293.522745,14.917374,-0.100001
193,1566078293.607843,1566078293.622771,14.927864,-0.100015
194,1566078293.707832,1566078293.722744,14.911652,-0.099990
195,1566078293.807848,1566078293.822717,14.868975,-0.100015
196,1566078293.907835,1566078293.922746,14.911175,-0.099987
197,1566078294.007852,1566078294.023022,15.170574,-0.100017
198,1566078294.107828,1566078294.122756,14.927626,-0.099976
199,1566078294.207836,1566078294.222843,15.006304,-0.100008
200,1566078294.307829,1566078294.322745,14.915943,-0.099993
201,1566078294.407819,1566078294.422637,14.818430,-0.099989
202,1566078294.507845,1566078294.522748,14.902353,-0.100027
203,1566078294.607827,1566078294.622703,14.875174,-0.099982
204,1566078294.707830,1566078294.722730,14.899731,-0.100003
205,1566078294.807827,1566078294.822711,14.883518,-0.099997
206,1566078294.907831,1566078294.922743,14.911890,-0.100004
207,1566078295.007827,1566078295.022671,14.843702,-0.099995
208,1566078295.107836,1566078295.122752,14.915943,-0.100009
209,1566078295.207847,1566078295.222853,15.006304,-0.100011
210,1566078295.307827,1566078295.322743,14.915466,-0.099981
211,1566078295.407831,1566078295.422771,14.940500,-0.100003
212,1566078295.507895,1566078295.522809,14.913559,-0.100065
213,1566078295.607823,1566078295.622713,14.889479,-0.099928
214,1566078295.707852,1566078295.722809,14.956951,-0.100029
215,1566078295.807824,1566078295.822778,14.954090,-0.099971
216,1566078295.907828,1566078295.922762,14.933825,-0.100005
217,1566078296.007830,1566078296.022730,14.900208,-0.100002
218,1566078296.107843,1566078296.122732,14.889002,-0.100013
219,1566078296.207829,1566078296.222748,14.918804,-0.099987
220,1566078296.307832,1566078296.322834,15.002012,-0.100002
221,1566078296.407840,1566078296.422991,15.151501,-0.100008
222,1566078296.507825,1566078296.522718,14.892817,-0.099985
223,1566078296.607826,1566078296.622743,14.917135,-0.100001
224,1566078296.707834,1566078296.722703,14.869452,-0.100007
225,1566078296.807842,1566078296.822762,14.920950,-0.100008
226,1566078296.907825,1566078296.922729,14.903784,-0.099984
227,1566078297.007824,1566078297.022719,14.895439,-0.099998
228,1566078297.107824,1566078297.122736,14.912128,-0.100000
229,1566078297.207837,1566078297.222737,14.900208,-0.100013
230,1566078297.307824,1566078297.322723,14.898777,-0.099987
231,1566078297.407825,1566078297.422724,14.898539,-0.100001
232,1566078297.507825,1566078297.522692,14.866829,-0.100000
233,1566078297.607829,1566078297.622782,14.953136,-0.100004
234,1566078297.707846,1566078297.722931,15.084982,-0.100018
235,1566078297.807823,1566078297.822756,14.932871,-0.099977
236,1566078297.907834,1566078297.922732,14.897823,-0.100011
237,1566078298.007825,1566078298.022744,14.918566,-0.099991
238,1566078298.107835,1566078298.122789,14.953852,-0.100009
239,1566078298.207829,1566078298.222660,14.831066,-0.099994
240,1566078298.307821,1566078298.322723,14.902592,-0.099992
241,1566078298.407826,1566078298.422733,14.907122,-0.100005
242,1566078298.507818,1566078298.522596,14.777184,-0.099993
243,1566078298.607823,1566078298.622693,14.869928,-0.100004
244,1566078298.707826,1566078298.722687,14.861584,-0.100003
245,1566078298.807824,1566078298.822605,14.781475,-0.099998
246,1566078298.907907,1566078298.922836,14.928579,-0.100083
247,1566078299.007806,1566078299.022646,14.839888,-0.099899
248,1566078299.107877,1566078299.122662,14.784336,-0.100071
249,1566078299.207870,1566078299.222650,14.780760,-0.099992
250,1566078299.307866,1566078299.322649,14.782667,-0.099997
251,1566078299.407882,1566078299.422674,14.792442,-0.100016
252,1566078299.507812,1566078299.522619,14.806986,-0.099931
253,1566078299.607867,1566078299.622649,14.781475,-0.100055
254,1566078299.707864,1566078299.722643,14.778852,-0.099997
255,1566078299.807818,1566078299.822646,14.827728,-0.099954
256,1566078299.907819,1566078299.922616,14.797211,-0.100000
257,1566078300.007813,1566078300.022666,14.852762,-0.099995
258,1566078300.107886,1566078300.122743,14.857054,-0.100072
259,1566078300.207859,1566078300.222631,14.771938,-0.099973
260,1566078300.307875,1566078300.322654,14.778852,-0.100017
261,1566078300.407871,1566078300.422724,14.852047,-0.099996
262,1566078300.507865,1566078300.522647,14.782429,-0.099993
263,1566078300.607875,1566078300.622644,14.769316,-0.100010
264,1566078300.707862,1566078300.722644,14.781713,-0.099987
265,1566078300.807873,1566078300.822649,14.775991,-0.100011
266,1566078300.907878,1566078300.922724,14.845610,-0.100005
267,1566078301.007868,1566078301.022650,14.781475,-0.099990
268,1566078301.107830,1566078301.122696,14.866829,-0.099962
269,1566078301.207824,1566078301.222669,14.844894,-0.099995
270,1566078301.307834,1566078301.322698,14.863253,-0.100010
271,1566078301.407824,1566078301.422681,14.856577,-0.099990
272,1566078301.507825,1566078301.522653,14.827490,-0.100001
273,1566078301.607865,1566078301.622653,14.787912,-0.100040
274,1566078301.707876,1566078301.722660,14.783621,-0.100012
275,1566078301.807873,1566078301.822655,14.781952,-0.099997
276,1566078301.907871,1566078301.922666,14.794588,-0.099998
277,1566078302.007868,1566078302.022732,14.863729,-0.099997
278,1566078302.107835,1566078302.122706,14.871120,-0.099967
279,1566078302.207870,1566078302.222648,14.778376,-0.100035
280,1566078302.307822,1566078302.322592,14.770746,-0.099952
281,1566078302.407829,1566078302.422616,14.786482,-0.100008
282,1566078302.507906,1566078302.522779,14.872789,-0.100077
283,1566078302.607848,1566078302.622718,14.870644,-0.099942
284,1566078302.707831,1566078302.722678,14.847040,-0.099983
285,1566078302.807868,1566078302.822653,14.785767,-0.100037
286,1566078302.907866,1566078302.922649,14.782906,-0.099999
287,1566078303.007863,1566078303.022641,14.777899,-0.099997
288,1566078303.107867,1566078303.122680,14.813423,-0.100004
289,1566078303.207810,1566078303.222686,14.876127,-0.099943
290,1566078303.307842,1566078303.322878,15.036821,-0.100032
291,1566078303.407831,1566078303.422701,14.870644,-0.099989
292,1566078303.507838,1566078303.522863,15.024662,-0.100008
293,1566078303.607833,1566078303.622788,14.954805,-0.099995
294,1566078303.707827,1566078303.722696,14.869452,-0.099994
295,1566078303.807825,1566078303.822714,14.889240,-0.099998
296,1566078303.907821,1566078303.922688,14.867067,-0.099997
297,1566078304.007833,1566078304.022774,14.940023,-0.100012
298,1566078304.107841,1566078304.122828,14.986515,-0.100008
299,1566078304.207834,1566078304.222726,14.891386,-0.099993
300,1566078304.307834,1566078304.322772,14.937878,-0.100000
301,1566078304.407846,1566078304.422770,14.923334,-0.100013
302,1566078304.507823,1566078304.522707,14.883995,-0.099976
303,1566078304.607844,1566078304.622734,14.889240,-0.100022
304,1566078304.707832,1566078304.722786,14.954567,-0.099987
305,1566078304.807824,1566078304.822795,14.970541,-0.099993
306,1566078304.907819,1566078304.922733,14.914036,-0.099994
307,1566078305.007833,1566078305.022701,14.867544,-0.100015
308,1566078305.107828,1566078305.122707,14.878750,-0.099995
309,1566078305.207836,1566078305.222766,14.930010,-0.100008
310,1566078305.307831,1566078305.322701,14.870167,-0.099995
311,1566078305.407830,1566078305.422780,14.950037,-0.099999
312,1566078305.507836,1566078305.522715,14.878988,-0.100006
313,1566078305.607872,1566078305.622934,15.061617,-0.100036
314,1566078305.707819,1566078305.722690,14.870644,-0.099947
315,1566078305.807832,1566078305.822775,14.943123,-0.100013
316,1566078305.907835,1566078305.922758,14.923334,-0.100003
317,1566078306.007835,1566078306.022737,14.902115,-0.100000
318,1566078306.107821,1566078306.122693,14.871597,-0.099987
319,1566078306.207829,1566078306.222730,14.900446,-0.100008
320,1566078306.307822,1566078306.322709,14.886379,-0.099993
321,1566078306.407851,1566078306.422725,14.873743,-0.100029
322,1566078306.507811,1566078306.522652,14.841080,-0.099960
323,1566078306.607822,1566078306.622753,14.930964,-0.100011
324,1566078306.707841,1566078306.722740,14.898300,-0.100019
325,1566078306.807839,1566078306.822815,14.975786,-0.099998
326,1566078306.907814,1566078306.922720,14.905930,-0.099975
327,1566078307.007821,1566078307.022768,14.946222,-0.100007
328,1566078307.107826,1566078307.122766,14.940023,-0.100005
329,1566078307.207837,1566078307.222718,14.881134,-0.100011
330,1566078307.307824,1566078307.322736,14.911890,-0.099987
331,1566078307.407842,1566078307.422758,14.915943,-0.100019
332,1566078307.507827,1566078307.522697,14.870167,-0.099984
333,1566078307.607828,1566078307.622718,14.889956,-0.100001
334,1566078307.707845,1566078307.722974,15.128851,-0.100018
335,1566078307.807833,1566078307.822720,14.887571,-0.099987
336,1566078307.907830,1566078307.922717,14.887094,-0.099997
337,1566078308.007829,1566078308.022737,14.907598,-0.100000
338,1566078308.107832,1566078308.122791,14.959335,-0.100003
339,1566078308.207838,1566078308.222745,14.907837,-0.100006
340,1566078308.307820,1566078308.322729,14.908552,-0.099983
341,1566078308.407828,1566078308.422755,14.926434,-0.100008
342,1566078308.507828,1566078308.522801,14.972687,-0.100000
343,1566078308.607827,1566078308.622732,14.905453,-0.099999
344,1566078308.707832,1566078308.722767,14.935017,-0.100005
345,1566078308.807827,1566078308.822739,14.911890,-0.099995
346,1566078308.907846,1566078308.922774,14.927387,-0.100019
347,1566078309.007824,1566078309.022722,14.898300,-0.099978
348,1566078309.107831,1566078309.122748,14.916897,-0.100007
349,1566078309.207837,1566078309.222744,14.906406,-0.100006
350,1566078309.307837,1566078309.322743,14.905453,-0.100000
351,1566078309.407835,1566078309.422740,14.905214,-0.099997
352,1566078309.507824,1566078309.522688,14.864683,-0.099989
353,1566078309.607835,1566078309.622716,14.880896,-0.100011
354,1566078309.707829,1566078309.722734,14.904737,-0.099994
355,1566078309.807827,1566078309.822704,14.877558,-0.099998
356,1566078309.907819,1566078309.922596,14.776468,-0.099993
357,1566078310.007881,1566078310.022754,14.873266,-0.100062
358,1566078310.107823,1566078310.122694,14.870644,-0.099942
359,1566078310.207865,1566078310.222657,14.792204,-0.100042
360,1566078310.307824,1566078310.322675,14.850140,-0.099960
361,1566078310.407819,1566078310.422601,14.781475,-0.099995
362,1566078310.507836,1566078310.522758,14.921665,-0.100017
363,1566078310.607826,1566078310.622706,14.880419,-0.099990
364,1566078310.707841,1566078310.722738,14.896631,-0.100015
365,1566078310.807835,1566078310.822955,15.120268,-0.099994
366,1566078310.907834,1566078310.922735,14.901876,-0.099998
367,1566078311.007827,1566078311.022717,14.889479,-0.099993
368,1566078311.107824,1566078311.122796,14.971495,-0.099997
