S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
5107,1566078785.022655,1566078785.040362,17.706871,-0.099845
5108,1566078785.122715,1566078785.140404,17.688751,-0.100060
5109,1566078785.222692,1566078785.240389,17.697811,-0.099977
5110,1566078785.322866,1566078785.340512,17.646551,-0.100174
5111,1566078785.422805,1566078785.440452,17.647505,-0.099939
5112,1566078785.522773,1566078785.540454,17.680645,-0.099968
5113,1566078785.622784,1566078785.640385,17.601252,-0.100011
5114,1566078785.722862,1566078785.740666,17.803907,-0.100079
5115,1566078785.822815,1566078785.840449,17.633438,-0.099953
5116,1566078785.922776,1566078785.940437,17.661095,-0.099961
5117,1566078786.022869,1566078786.040523,17.653942,-0.100093
5118,1566078786.122727,1566078786.140461,17.733574,-0.099858
5119,1566078786.222730,1566078786.240418,17.687798,-0.100003
5120,1566078786.322836,1566078786.340491,17.654896,-0.100106
5121,1566078786.422792,1566078786.440424,17.632008,-0.099956
5122,1566078786.522749,1566078786.540463,17.714024,-0.099958
5123,1566078786.622633,1566078786.640384,17.750978,-0.099884
5124,1566078786.722926,1566078786.740576,17.649651,-0.100292
5125,1566078786.822793,1566078786.840418,17.625570,-0.099867
5126,1566078786.922678,1566078786.940423,17.745018,-0.099886
5127,1566078787.022860,1566078787.040467,17.607212,-0.100182
5128,1566078787.122803,1566078787.140418,17.614841,-0.099943
5129,1566078787.222858,1566078787.240530,17.672300,-0.100055
5130,1566078787.322766,1566078787.340373,17.607212,-0.099908
5131,1566078787.422656,1566078787.440317,17.661095,-0.099891
5132,1566078787.522766,1566078787.540389,17.622948,-0.100110
5133,1566078787.622658,1566078787.640400,17.742395,-0.099891
5134,1566078787.722892,1566078787.740603,17.711401,-0.100234
5135,1566078787.822860,1566078787.840509,17.648220,-0.099969
5136,1566078787.922820,1566078787.940449,17.628908,-0.099960
5137,1566078788.022634,1566078788.040326,17.691374,-0.099814
5138,1566078788.122810,1566078788.140444,17.634392,-0.100176
5139,1566078788.222893,1566078788.240546,17.653704,-0.100083
5140,1566078788.322659,1566078788.340350,17.690182,-0.099767
5141,1566078788.422778,1566078788.440415,17.636776,-0.100118
5142,1566078788.522680,1566078788.540429,17.749071,-0.099902
5143,1566078788.622751,1566078788.640425,17.674446,-0.100071
5144,1566078788.722854,1566078788.740570,17.715931,-0.100104
5145,1566078788.822752,1566078788.840353,17.601490,-0.099898
5146,1566078788.922754,1566078788.940368,17.613888,-0.100002
5147,1566078789.022805,1566078789.040441,17.635822,-0.100051
5148,1566078789.122728,1566078789.140482,17.754793,-0.099922
5149,1566078789.222681,1566078789.240340,17.658949,-0.099953
5150,1566078789.322549,1566078789.340228,17.679453,-0.099868
5151,1566078789.422743,1566078789.440441,17.697334,-0.100194
5152,1566078789.522786,1566078789.540385,17.598391,-0.100043
5153,1566078789.622566,1566078789.640217,17.650843,-0.099780
5154,1566078789.722695,1566078789.740290,17.594337,-0.100129
5155,1566078789.822566,1566078789.840243,17.677307,-0.099871
5156,1566078789.922627,1566078789.940287,17.660618,-0.100061
5157,1566078790.022636,1566078790.040295,17.659426,-0.100009
5158,1566078790.122563,1566078790.140238,17.674446,-0.099928
5159,1566078790.222567,1566078790.240220,17.652988,-0.100003
5160,1566078790.322623,1566078790.340262,17.638922,-0.100056
5161,1566078790.422623,1566078790.440262,17.638683,-0.100000
5162,1566078790.522593,1566078790.540236,17.643452,-0.099969
5163,1566078790.622591,1566078790.640239,17.648220,-0.099998
5164,1566078790.722595,1566078790.740240,17.644882,-0.100005
5165,1566078790.822608,1566078790.840264,17.655373,-0.100013
5166,1566078790.922607,1566078790.940251,17.643929,-0.099999
5167,1566078791.022881,1566078791.040616,17.735004,-0.100274
5168,1566078791.122779,1566078791.140431,17.651796,-0.099898
5169,1566078791.222751,1566078791.240372,17.621040,-0.099972
5170,1566078791.322730,1566078791.340441,17.711639,-0.099978
5171,1566078791.422788,1566078791.440439,17.651081,-0.100058
5172,1566078791.522755,1566078791.540396,17.641306,-0.099967
5173,1566078791.622717,1566078791.640425,17.707586,-0.099962
5174,1566078791.722654,1566078791.740341,17.687082,-0.099937
5175,1566078791.822755,1566078791.840382,17.626524,-0.100101
5176,1566078791.922767,1566078791.940435,17.668724,-0.100012
5177,1566078792.022800,1566078792.040494,17.693996,-0.100033
5178,1566078792.122830,1566078792.140530,17.700672,-0.100030
5179,1566078792.222785,1566078792.240387,17.602682,-0.099955
5180,1566078792.322758,1566078792.340488,17.729521,-0.099974
5181,1566078792.422763,1566078792.440368,17.605543,-0.100004
5182,1566078792.522885,1566078792.540573,17.687798,-0.100122
5183,1566078792.622779,1566078792.640449,17.669916,-0.099894
5184,1566078792.722750,1566078792.740354,17.604113,-0.099971
5185,1566078792.822776,1566078792.840404,17.628431,-0.100026
5186,1566078792.922805,1566078792.940432,17.626286,-0.100030
5187,1566078793.022662,1566078793.040376,17.714024,-0.099857
5188,1566078793.122671,1566078793.140500,17.828465,-0.100009
5189,1566078793.222725,1566078793.240355,17.630577,-0.100053
5190,1566078793.322783,1566078793.340391,17.607689,-0.100059
5191,1566078793.422690,1566078793.440349,17.658949,-0.099907
5192,1566078793.522781,1566078793.540395,17.613649,-0.100091
5193,1566078793.622774,1566078793.640442,17.667532,-0.099993
5194,1566078793.722775,1566078793.740394,17.619848,-0.100000
5195,1566078793.822815,1566078793.840430,17.614841,-0.100040
5196,1566078793.922690,1566078793.940411,17.721415,-0.099875
5197,1566078794.022897,1566078794.040528,17.631054,-0.100207
5198,1566078794.122782,1566078794.140401,17.619848,-0.099885
5199,1566078794.222744,1566078794.240344,17.600298,-0.099962
5200,1566078794.322714,1566078794.340332,17.617226,-0.099970
5201,1566078794.422780,1566078794.440468,17.687559,-0.100066
5202,1566078794.522708,1566078794.540401,17.693043,-0.099928
5203,1566078794.622739,1566078794.640351,17.611980,-0.100031
5204,1566078794.722556,1566078794.740275,17.719269,-0.099817
5205,1566078794.822751,1566078794.840379,17.628193,-0.100195
5206,1566078794.922646,1566078794.940352,17.705679,-0.099895
5207,1566078795.022690,1566078795.040403,17.712831,-0.100044
5208,1566078795.122855,1566078795.140568,17.712831,-0.100166
5209,1566078795.222676,1566078795.240399,17.723322,-0.099821
5210,1566078795.322723,1566078795.340377,17.653942,-0.100047
5211,1566078795.422675,1566078795.440364,17.688751,-0.099953
5212,1566078795.522660,1566078795.540369,17.709255,-0.099984
5213,1566078795.622811,1566078795.640483,17.672300,-0.100152
5214,1566078795.722807,1566078795.740444,17.636299,-0.099996
5215,1566078795.822629,1566078795.840361,17.731190,-0.099822
